http://www.aifb.uni-karlsruhe.de/Publikationen/viewPublikationOWL/id787instance,http://swrc.ontoware.org/ontology#edition,2. Auflage
http://www.aifb.uni-karlsruhe.de/Publikationen/viewPublikationOWL/id149instance,http://swrc.ontoware.org/ontology#edition,1. Auflage
http://www.aifb.uni-karlsruhe.de/Publikationen/viewPublikationOWL/id808instance,http://swrc.ontoware.org/ontology#edition,2. Auflage
http://www.aifb.uni-karlsruhe.de/Publikationen/viewPublikationOWL/id769instance,http://swrc.ontoware.org/ontology#edition,"2., neu bearbeitete Auflage"
http://www.aifb.uni-karlsruhe.de/Publikationen/viewPublikationOWL/id150instance,http://swrc.ontoware.org/ontology#edition,1. Auflage
http://www.aifb.uni-karlsruhe.de/Publikationen/viewPublikationOWL/id1207instance,http://swrc.ontoware.org/ontology#edition,"3., neu bearbeitete Auflage"
http://www.aifb.uni-karlsruhe.de/Publikationen/viewPublikationOWL/id409instance,http://swrc.ontoware.org/ontology#edition,LNCS 2598
http://www.aifb.uni-karlsruhe.de/Publikationen/viewPublikationOWL/id1208instance,http://swrc.ontoware.org/ontology#edition,"2., neu bearbeitete Auflage"
http://www.aifb.uni-karlsruhe.de/Publikationen/viewPublikationOWL/id1139instance,http://swrc.ontoware.org/ontology#edition,X.media.press
http://www.aifb.uni-karlsruhe.de/Publikationen/viewPublikationOWL/id779instance,http://swrc.ontoware.org/ontology#edition,Reihe Wirtschaftsinformatik
http://www.aifb.uni-karlsruhe.de/Publikationen/viewPublikationOWL/id1278instance,http://swrc.ontoware.org/ontology#edition,(1)
http://www.aifb.uni-karlsruhe.de/Publikationen/viewPublikationOWL/id422instance,http://swrc.ontoware.org/ontology#edition,GI-Edition
